                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0345,                 1.7417,                 2.6303,                 1.0805,                0.39474,                0.80723,                0.72232,                0.59268,                0.41307,                0.83534,                0.78223,                0.61401,                0.65979,                 1.2499,                 3.1286,                0.93595,                0.00022,                0.00022,                0.00022
                      2,                0.57673,                   0.86,                0.77672,                0.86868,                0.53671,                0.85141,                0.53811,                 0.4364,                0.57215,                0.90763,                0.59096,                0.43995,                0.63496,                  1.505,                 6.1496,                0.95014,             0.00043723,             0.00043723,             0.00043723
                      3,                0.52113,                 0.7058,                0.66932,                 0.8538,                0.73684,                0.46185,                0.49786,                0.38099,                0.73044,                0.45783,                0.48783,                0.35533,                 1.0346,                 2.7631,                 3.4785,                 1.0999,              0.0006307,              0.0006307,              0.0006307
                      4,                0.51784,                0.78116,                0.62359,                0.85042,                0.82609,                0.38153,                  0.543,                0.43184,                0.82609,                0.38153,                0.54933,                0.40613,                0.78228,                 2.9553,                 6.0851,                0.98123,             0.00080041,             0.00080041,             0.00080041
                      5,                0.52134,                0.68297,                 0.5679,                0.85033,                0.82609,                0.38153,                  0.543,                0.43184,                0.82609,                0.38153,                0.54933,                0.40613,                 2.5357,                 464.96,                    inf,                 8.4266,             0.00094636,             0.00094636,             0.00094636
                      6,                0.51252,                0.61979,                0.56207,                0.84603,                    0.8,                0.08032,                 0.1376,                0.12049,                    0.8,                0.08032,                0.13895,                0.07792,                0.75678,                 1.9596,                 6.7916,                 1.0035,              0.0010685,              0.0010685,              0.0010685
                      7,                0.52731,                0.56711,                0.60102,                0.85515,                0.42225,                0.75904,                0.54921,                0.45442,                0.42984,                0.77912,                0.54245,                0.46112,                0.69671,                 1.4674,                 2.1127,                0.98698,               0.001167,               0.001167,               0.001167
                      8,                0.49656,                0.58339,                 0.5286,                0.84929,                0.57703,                0.75062,                0.77453,                0.64756,                0.55651,                0.84666,                0.77846,                 0.6248,                0.63227,                 1.5012,                 1.8179,                0.98653,              0.0012416,              0.0012416,              0.0012416
                      9,                0.47865,                0.56847,                0.52288,                0.83539,                0.77464,                0.66262,                0.84613,                0.73486,                0.77464,                0.66262,                0.84486,                0.67729,                0.62387,                 1.3687,                 1.0653,                0.94628,               0.001208,               0.001208,               0.001208
                     10,                0.45584,                0.58058,                0.50628,                 0.8278,                0.87365,                 0.7992,                0.90213,                0.77989,                0.79519,                0.90361,                0.89897,                0.74333,                0.55707,                  1.228,                0.77642,                0.92747,               0.001109,               0.001109,               0.001109
                     11,                0.40678,                0.49944,                0.52956,                0.82984,                0.82976,                0.75904,                0.85912,                0.73817,                0.83818,                0.75904,                0.84098,                0.67847,                0.58429,                 1.6149,                0.83634,                0.94554,                0.00101,                0.00101,                0.00101
                     12,                0.38197,                0.47706,                0.47976,                0.82234,                0.88939,                0.63454,                0.73459,                0.64234,                0.88022,                0.63454,                 0.7517,                0.64648,                0.70843,                 3.3248,                 1.4129,                 1.0233,               0.000911,               0.000911,               0.000911
                     13,                0.38073,                0.44971,                0.48369,                0.81492,                0.84275,                0.92369,                 0.9422,                0.80787,                0.87079,                0.95582,                0.95276,                0.78622,                0.50505,                 1.0214,                0.69112,                0.93712,               0.000812,               0.000812,               0.000812
                     14,                0.35054,                0.45614,                0.45711,                 0.8091,                0.85237,                0.95069,                0.95734,                0.82471,                0.87351,                0.97189,                0.96354,                0.81306,                0.49864,                 0.9554,                0.65392,                0.93197,               0.000713,               0.000713,               0.000713
                     15,                0.33392,                0.42418,                0.45106,                0.80845,                0.84459,                0.94378,                0.94381,                 0.8346,                0.87283,                 0.9759,                0.96056,                0.81511,                0.48072,                0.86468,                0.55779,                0.94922,               0.000614,               0.000614,               0.000614
                     16,                 0.3212,                0.40185,                0.42646,                0.79983,                0.73309,                0.93976,                 0.9221,                 0.8323,                0.76446,                0.97992,                0.93368,                0.79229,                0.46792,                0.85031,                0.55902,                0.93726,               0.000515,               0.000515,               0.000515
                     17,                0.30679,                0.40961,                0.40879,                0.80237,                0.83314,                0.94244,                0.94617,                0.85158,                0.85743,                0.96609,                0.94629,                0.81474,                 0.4454,                0.81795,                0.51047,                0.93177,               0.000416,               0.000416,               0.000416
                     18,                0.28595,                0.38037,                0.39518,                0.80487,                0.83567,                0.93945,                0.94396,                 0.8615,                0.86429,                0.97992,                0.94888,                0.80003,                0.42455,                0.83342,                0.47898,                0.92888,               0.000317,               0.000317,               0.000317
                     19,                0.27634,                0.36302,                0.37416,                0.79635,                0.85089,                0.93574,                0.95415,                0.86896,                0.87046,                0.97189,                 0.9541,                0.80665,                0.40926,                0.82574,                0.46895,                0.92544,               0.000218,               0.000218,               0.000218
                     20,                0.26257,                0.37521,                0.36707,                0.78902,                0.84936,                0.93574,                0.95356,                0.87393,                0.87135,                 0.9759,                0.95786,                0.81197,                0.40351,                0.82077,                0.45002,                0.91867,               0.000119,               0.000119,               0.000119
